model_name,dataset_name,test_accuracy,test_loss,precision,recall,f1_score,training_time,inference_time,model_parameters,model_size_mb
VGG16,chest_xray,0.47692307692307695,0.6891295313835144,0.4074441687344913,0.47692307692307695,0.3424440807419531,1007.5760023593903,0.5178919062018394,14780481,56.383060455322266
ResNet50,chest_xray,0.49230769230769234,0.6817572712898254,0.24236686390532547,0.49230769230769234,0.32482157018239494,371.88848400115967,0.17159266024827957,23850113,90.98096084594727
DenseNet121,chest_xray,0.7230769230769231,0.49100667238235474,0.7753212462594614,0.7230769230769231,0.7106508875739646,348.9613666534424,0.1407468318939209,7168833,27.346927642822266
EfficientNetB0,chest_xray,0.49230769230769234,0.6934553384780884,0.24236686390532547,0.49230769230769234,0.32482157018239494,192.36698484420776,0.07086548209190369,4213668,16.073867797851562
VGG16,covid,0.6666666666666666,0.9001325368881226,0.6003167564143174,0.6666666666666666,0.6136397931872514,1854.169193983078,0.49326953291893005,14780739,56.3840446472168
ResNet50,covid,0.6097560975609756,0.885225236415863,0.5546930703725129,0.6097560975609756,0.5666137214838836,646.7310662269592,0.17775698006153107,23850371,90.9819450378418
DenseNet121,covid,0.6747967479674797,0.708345890045166,0.5955865272938444,0.6747967479674797,0.6315464780664066,586.6299629211426,0.1406625360250473,7169091,27.347911834716797
EfficientNetB0,covid,0.4878048780487805,0.973945677280426,0.23795359904818558,0.4878048780487805,0.31987205117952816,284.32258439064026,0.06052253395318985,4213926,16.074851989746094
